,id,title,rating,user
12,13548456,"Easy (Contours of the Heart, #1)",0,22
13,11505797,"Beautiful Disaster (Beautiful, #1)",5,22
14,6296169,"Sweet Seduction (Sweet, #3)",0,22
15,87220,Loser,0,22
16,580770,Run,0,22
17,1409543,Kill Grandma For Me,0,22
18,429919,"Blood of Innocents: The True Story of Multiple Murder in West Memphis, Arkansas",0,22
19,18342,It,0,22
0,12930,"Messenger (The Giver, #3)",4,23
1,12936,"Gathering Blue (The Giver, #2)",3,23
2,3636,"The Giver (The Giver, #1)",5,23
3,215539,"The Pilgrims of Rayne (Pendragon, #8)",4,23
4,215542,"The Rivers of Zadaa (Pendragon, #6)",5,23
5,215540,"The Quillan Games (Pendragon, #7)",5,23
6,215543,"The Lost City of Faar (Pendragon, #2)",4,23
7,215541,"The Reality Bug (Pendragon, #4)",3,23
8,536982,"The Never War (Pendragon, #3)",4,23
9,833710,"The Merchant of Death (Pendragon, #1)",4,23
10,1729146,"Raven Rise (Pendragon, #9)",4,23
11,147801,"Black Water (Pendragon, #5)",4,23
0,15950487,When It Happens to You,5,24
1,13384581,"No One Left To Tell (Romantic Suspense, #13)",0,24
2,993761,My Horizontal Life: A Collection of One-Night Stands,0,24
3,11456803,"I Am Number Four (Lorien Legacies, #1)",0,24
4,10077152,A Tiny Bit Marvellous,0,24
5,15950492,A Memoir,0,24
6,74998,"The Magic Faraway Tree (The Faraway Tree, #2)",5,24
7,7975601,Instant Confidence: 92 Tips On How To Build Confidence To Develop Self-Confidence And Self-Esteem,0,24
8,4677,The Great Gatsby,0,24
9,197514,Pig Island,5,24
10,13730690,Hanging Hill,0,24
11,14759138,The Accident,0,24
12,9909915,"Goddess of Vengeance (Lucky Santangelo, #8)",5,24
13,152402,"Lucky (Lucky Santangelo, #2)",5,24
14,43924,"Promise Me (Myron Bolitar, #8)",5,24
15,43930,Gone for Good,5,24
16,43933,Tell No One,5,24
17,21719,"Kisscut (Grant County, #2)",4,24
18,21718,"Blindsighted (Grant County, #1)",4,24
19,6172342,"Blindsighted / Kisscut (Grant County, #1, #2)",0,24
0,4667024,The Help,5,27
1,90559,When Life and Beliefs Collide: How Knowing God Makes a Difference,5,27
2,6095582,My Dear Child: Listening to God's Heart,4,27
3,24280,Les Misérables,0,27
4,854252,"Little House on Rocky Ridge (Little House: The Rocky Ridge Years, #1)",4,27
5,54539,Silas Marner,4,27
6,2319645,"Surprised by Hope: Rethinking Heaven, the Resurrection, and the Mission of the Church",3,27
7,1007163,So Shall We Reap: What's Gone Wrong with the World's Food--And How to Fix It,0,27
8,31244,Our Mutual Friend,3,27
9,119322,"The Golden Compass (His Dark Materials, #1)",4,27
10,156538,North and South,5,27
11,19089,Middlemarch,5,27
12,298230,Agnes Grey,5,27
13,383206,Wives and Daughters,4,27
14,5890,The Woman in White,4,27
15,76620,"Watership Down (Watership Down, #1)",4,27
16,1852,The Call of the Wild,4,27
17,8253,"Little Town on the Prairie  (Little House, #7)",4,27
18,93,"Heidi (Heidi, #1-2)",5,27
19,3008,A Little Princess,4,27
0,22500958,The Age of Acquiescence: The Life and Death of American Resistance to Organized Wealth and Power,0,28
1,25614523,Originals: How Non-Conformists Move the World,0,28
2,25614522,The Importance of Being Little: What Preschoolers Really Need from Grownups,0,28
3,6572270,Bloodlands: Europe Between Hitler and Stalin,0,28
4,8035335,Muddling Toward Frugality,0,28
5,3000257,Inquiries into the Nature of Slow Money,0,28
6,8078106,The Ghosts of Cannae: Hannibal & the Darkest Hour of the Roman Republic,4,28
7,13151179,Twilight of the Elites: America After Meritocracy,4,28
8,14515904,Restoring the Shamed: Towards a Theology of Shame,0,28
9,12617,Manufacturing Consent: The Political Economy of the Mass Media,4,28
10,2767,A People's History of the United States,4,28
0,7244496,The Art of E-mail Writing,0,29
1,36405052,Master English FAST: An Uncommon Guide to Speaking Extraordinary English,0,29
2,8827035,"Requirements Engineering: Fundamentals, Principles, and Techniques",0,29
3,394424,The Prophet,0,29
4,7144,Crime and Punishment,0,29
